Frame,HOG
pruebaC-10000.png,[0.         0.         0.         ... 0.         0.         0.36346242]
pruebaC-10001.png,[0.        0.        0.        ... 0.        0.        0.3629145]
pruebaC-10002.png,[0.         0.         0.         ... 0.         0.         0.35893366]
pruebaC-10003.png,[0.         0.         0.         ... 0.         0.         0.35891247]
pruebaC-10004.png,[0.         0.         0.         ... 0.         0.         0.34457213]
pruebaC-10005.png,[0.        0.        0.        ... 0.        0.        0.3452026]
pruebaC-10006.png,[0.        0.        0.        ... 0.        0.        0.3452026]
pruebaC-10007.png,[0.         0.         0.         ... 0.         0.         0.20911105]
pruebaC-10008.png,[0.        0.        0.        ... 0.        0.        0.2180745]
pruebaC-10009.png,[0.         0.         0.         ... 0.         0.         0.02531357]
pruebaC-10010.png,[0.         0.         0.         ... 0.         0.         0.02721615]
pruebaC-10011.png,[0.         0.         0.         ... 0.         0.         0.02541041]
pruebaC-10012.png,[0.         0.         0.         ... 0.         0.         0.02710832]
pruebaC-10013.png,[0.         0.         0.         ... 0.         0.         0.02501582]
pruebaC-10014.png,[0.         0.         0.         ... 0.         0.         0.02392686]
pruebaC-10015.png,[0.         0.         0.         ... 0.         0.         0.02495514]
pruebaC-10016.png,[0.         0.         0.         ... 0.         0.         0.02495564]
pruebaC-10017.png,[0.         0.         0.         ... 0.         0.         0.01186088]
pruebaC-10018.png,[0.        0.        0.        ... 0.        0.        0.0114343]
pruebaC-10019.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10020.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10021.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10022.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10023.png,[0.         0.         0.         ... 0.         0.         0.00087843]
pruebaC-10024.png,[0.         0.         0.         ... 0.         0.         0.00083337]
pruebaC-10025.png,[0.         0.         0.         ... 0.         0.         0.00082075]
pruebaC-10026.png,[0.         0.         0.         ... 0.         0.         0.00083396]
pruebaC-10027.png,[0.         0.         0.         ... 0.         0.         0.00089889]
pruebaC-10028.png,[0.         0.         0.         ... 0.         0.         0.00645987]
pruebaC-10029.png,[0.         0.         0.         ... 0.         0.         0.01080083]
pruebaC-10030.png,[0.         0.         0.         ... 0.         0.         0.01033094]
pruebaC-10031.png,[0.         0.         0.         ... 0.         0.         0.01033162]
pruebaC-10032.png,[0.         0.         0.         ... 0.         0.         0.01063508]
pruebaC-10033.png,[0.         0.         0.         ... 0.         0.         0.00891563]
pruebaC-10034.png,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.3464428e-05 0.0000000e+00
 8.8786874e-03]"
